country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10,year,show_newid,synopsis
United States,US,2023-05-14,TV,6,The Night Agent,The Night Agent: Season 1,8,2023,r_0664,"While monitoring an emergency line, a vigilant FBI agent answers a call that plunges him into a deadly conspiracy involving a mole at the White House."
United States,US,2023-05-14,TV,7,Bridgerton,Bridgerton: Season 1,5,2023,r_0667,The eight close-knit siblings of the Bridgerton family look for love and happiness in London high society. Inspired by Julia Quinn's bestselling novels.
United States,US,2023-05-14,TV,5,The Diplomat,The Diplomat: Season 1,4,2023,r_0671,"Amid an international crisis, a career diplomat juggles her new high-profile job as ambassador to the UK and her turbulent marriage to a political star."
United States,US,2023-05-21,Films,8,The Croods,,3,2023,r_0673,"When an earthquake obliterates their cave, an unworldly prehistoric family is forced to journey through unfamiliar terrain in search of a new home."
United States,US,2023-05-21,TV,10,Muted,Muted: Limited Series,1,2023,r_0675,"Sergio hasn't spoken since he murdered his parents six years ago. Now, a psychiatrist aims to uncover what happened through a twisted investigation."
United States,US,2023-05-21,TV,7,Queer Eye,Queer Eye: Season 7,2,2023,r_0677,"Grab some tissues! An all-new ""Fab Five"" serve up hip tips, emotionally charged makeovers and heartfelt reveals that bring out all the feels."
United States,US,2023-05-28,Films,7,Mother's Day,,1,2023,r_0680,The trials and tribulations of several Atlanta moms (and one clueless widower dad) make it a Mother's Day to remember in this ensemble comedy.
United States,US,2023-05-28,TV,5,"XO, Kitty","XO, Kitty: Season 1",2,2023,r_0684,A new love story unfolds when teen matchmaker Kitty reunites with her long-distance boyfriend at the same boarding school attended by her late mother.
United States,US,2023-06-04,TV,8,Queen Charlotte: A Bridgerton Story,,5,2023,r_0688,"Young Queen Charlotte's marriage to King George of England sparks an epic love story and transforms high society in this ""Bridgerton"" universe prequel."
United States,US,2023-06-04,Films,9,The Son,,2,2023,r_0689,"In this psychological thriller, painter Lorenzo's life spirals out of control as he fears his wife is trying to isolate him from their infant son."
United States,US,2023-06-11,TV,2,Manifest,Manifest: Season 4,6,2023,r_0697,"When a plane mysteriously lands years after takeoff, the people onboard return to a world that has moved on without them and face strange new realities."
United States,US,2023-06-11,TV,5,S.W.A.T.,S.W.A.T.: Season 1,4,2023,r_0698,"A veteran cop is tasked with drafting and training a special weapons and tactics team, who soon find themselves up against an international criminal."
United States,US,2023-06-11,TV,6,Fake Profile,Fake Profile: Season 1,2,2023,r_0704,"Camila meets her Prince Charming through a dating app. After an idyllic romance, she plans to surprise him — only to end up trapped in a false paradise."
United States,US,2023-06-18,TV,8,Bloodhounds,Bloodhounds: Season 1,1,2023,r_0706,Two young boxers band together with a benevolent moneylender to take down a ruthless loan shark who preys on the financially desperate.
United States,US,2023-06-18,TV,7,FUBAR,FUBAR: Season 1,4,2023,r_0712,"When a father and daughter discover they both secretly work for the CIA, an already dicey undercover mission turns into a dysfunctional family affair."
United States,US,2023-06-25,TV,5,Never Have I Ever,Never Have I Ever: Season 4,3,2023,r_0717,"After a traumatic year, an Indian-American teen just wants to spruce up her social status — but friends, family and feelings won’t make it easy on her."
United States,US,2023-06-25,Films,8,Accepted,,1,2023,r_0721,"Rejected by every college he applied to, a high school senior invents a fake university that will fool his parents and help his fellow outcasts."
United States,US,2023-06-25,TV,7,The Surrogacy,The Surrogacy: Season 1,2,2023,r_0724,"When a woman is coerced into surrogacy to save her father, she becomes entangled with an affluent family who will protect their reputation at all costs."
United States,US,2023-07-02,TV,9,Glamorous,Glamorous: Season 1,1,2023,r_0727,Aspiring influencer Marco lands a dream job with a makeup mogul and begins a dazzling journey of self-discovery amid work chaos and romantic challenges.
United States,US,2023-07-02,Films,8,Extraction,,3,2023,r_0731,"When a retired CIA agent is kidnapped, his son, a government analyst, embarks on an unauthorized mission to find him and halt a terrorist plot."
United States,US,2023-08-06,TV,3,The Witcher,The Witcher: Season 3,6,2023,r_0767,"Geralt of Rivia, a mutated monster-hunter for hire, journeys toward his destiny in a turbulent world where people often prove more wicked than beasts."
United States,US,2023-08-13,TV,10,Heartstopper,Heartstopper: Season 2,2,2023,r_0776,Teens Charlie and Nick discover their unlikely friendship might be something more as they navigate school and young love in this coming-of-age series.
United States,US,2023-08-13,TV,7,Fisk,Fisk: Season 1,1,2023,r_0780,Family feuds. Money squabbles. Wobbly furniture. A no-nonsense lawyer joins a low-rent wills and probate firm after her marriage and career implode.
United States,US,2023-08-20,Films,10,Safe,,2,2023,r_0781,"After his teenage daughter goes missing, a widowed surgeon in an affluent neighborhood begins unearthing dark secrets about the people closest to him."
United States,US,2023-08-20,TV,5,The Lincoln Lawyer,The Lincoln Lawyer: Season 2,7,2023,r_0783,A street-wise defense lawyer who operates out of the back seat of his Lincoln lands a high-profile case that soon puts him and his family in danger.
United States,US,2023-08-20,Films,9,Bee Movie,,2,2023,r_0787,"Barry, a worker bee stuck in a dead-end job making honey, sues humans when he learns they've been stealing bees' nectar all along."
United States,US,2023-08-27,TV,8,The Upshaws,The Upshaws: Part 4,2,2023,r_0789,A working-class Black family in Indiana strives for a better life and a happy home while juggling everyday struggles in this comedy series.
United States,US,2023-08-27,TV,9,Ballers,Ballers: Season 1,2,2023,r_0790,A retired NFL star tries to kick-start his financial management career by signing other players as clients — with big personalities and problems in tow.
United States,US,2023-08-27,TV,6,The Chosen One,The Chosen One: Season 1,2,2023,r_0795,"Determined to bring a Zika vaccine to the remote Pantanal, three doctors clash with a faith healer and are pulled deeper into the mysteries of his cult."
United States,US,2023-09-03,TV,7,Ragnarok,Ragnarok: Season 3,2,2023,r_0798,"In a Norwegian town poisoned by pollution and rattled by melting glaciers, the End Times feel all too real. It’ll take a legend to battle an old evil."
United States,US,2023-09-17,TV,8,Who is Erin Carter?,Who is Erin Carter?: Limited Series,4,2023,r_0821,A British woman's tranquil life in Barcelona spirals out of control when an armed robbery at a supermarket exposes her secret... and violent past.
United States,US,2023-09-17,Films,4,Killers,,1,2023,r_0823,"After a whirlwind romance, Jen and Spencer settle into married life — until Spencer's secret past as a hit man shakes up their suburban bliss."
United States,US,2023-09-24,Films,6,Woody Woodpecker,,3,2023,r_0828,A rascally bird with a distinctive laugh pecks back with a vengeance when his forest habitat is threatened by a slick lawyer building his dream home.
United States,US,2023-10-01,Films,8,The Foreigner,,1,2023,r_0841,"After his daughter is killed by terrorists, a sullen restaurateur seeks the identities of those responsible and travels to Ireland to take vengeance."
United States,US,2023-10-08,TV,7,Sex Education,Sex Education: Season 4,3,2023,r_0854,"Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mother. So rebel Maeve proposes a school sex-therapy clinic."
United States,US,2023-10-22,TV,10,Lupin,Lupin: Part 3,3,2023,r_0871,"Inspired by the adventures of Arsène Lupin, gentleman thief Assane Diop sets out to avenge his father for an injustice inflicted by a wealthy family."
United States,US,2023-10-22,Films,10,Spy Kids,,1,2023,r_0873,The tables are turned when pint-sized kids Carmen and Juni must rescue their secret-agent parents from the diabolical clutches of Alexander Minion.
United States,US,2023-10-29,TV,7,The Great British Baking Show,The Great British Baking Show: Collection 11,5,2023,r_0883,"A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best."
United States,US,2023-10-29,TV,5,Big Mouth,Big Mouth: Season 7,2,2023,r_0885,Teenage friends find their lives upended by the wonders and horrors of puberty in this edgy comedy from real-life pals Nick Kroll and Andrew Goldberg.
United States,US,2023-11-12,Films,10,Legion,,1,2023,r_0908,A motley crew of apocalypse survivors living at an abandoned truck stop never suspects that the pregnant woman among them is carrying the Messiah.
United States,US,2023-11-19,Films,9,The Impossible,,2,2023,r_0916,"Tracking one family's harrowing experiences, this gripping drama depicts the chaos generated by the massive 2004 tsunami in Southeast Asia."
United States,US,2023-11-26,Films,4,The Killer,,3,2023,r_0920,"In lawless badlands, reclusive Cabeleira sets out to discover the fate of his gunman father and grows to be a feared assassin himself."
United States,US,2023-11-26,Films,8,Real Steel,,1,2023,r_0927,A struggling fighter-turned-promoter reconnects with his estranged son to convert an old-generation robot into a mighty World Robot Boxing contender.
United States,US,2023-12-03,TV,9,Virgin River,Virgin River: Season 5,6,2023,r_0934,"Searching for a fresh start, a nurse practitioner moves from LA to a remote northern California town and is surprised by what — and who — she finds."
United States,US,2023-12-17,Films,7,The Adventures of Sharkboy and Lavagirl,,2,2023,r_0947,A 10-year-old dreamer's imaginary friends – mighty Sharkboy and fire-producing Lavagirl – come to life to seek his help battling a nefarious baddie.
United States,US,2023-12-24,Films,10,The Christmas Chronicles,,5,2023,r_0954,"After accidentally crashing Santa's sleigh, a brother and sister pull an all-nighter to save Christmas with a savvy, straight-talking St. Nick."
United States,US,2023-12-31,TV,6,The Crown,The Crown: Season 6,6,2023,r_0959,"Inspired by real events, this fictional dramatization tells the story of Queen Elizabeth II and the political and personal events that shaped her reign."
