country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10,year,show_newid,synopsis
United States,US,2021-12-19,TV,8,Money Heist,Money Heist: Part 5,5,2021,r_0153,Eight thieves take hostages and lock themselves in the Royal Mint of Spain as a criminal mastermind manipulates the police to carry out his plan.
United States,US,2021-12-19,Films,8,Dr. Seuss' The Cat in the Hat,,2,2021,r_0155,"While Mom is away, a bored little boy and girl are visited by the Cat in the Hat, who proceeds to turn the house into the ""mother of all messes."""
United States,US,2021-12-26,Films,5,The Christmas Chronicles: Part Two,,2,2021,r_0159,"Unhappy over her mom’s new relationship, a now-teenage Kate runs away and lands at the North Pole, where a naughty elf is plotting to cancel Christmas."
United States,US,2022-01-02,TV,5,The Silent Sea,The Silent Sea: Season 1,1,2022,r_0170,"During a perilous 24-hour mission on the moon, space explorers try to retrieve samples from an abandoned research facility steeped in classified secrets."
United States,US,2022-02-06,TV,6,In From the Cold,In From the Cold: Season 1,2,2022,r_0200,"Exposed as an ex-Russian spy, an American single mom must juggle family life and unique shape-shifting skills in a battle against an insidious enemy."
United States,US,2022-02-13,Films,7,The Other Guys,,1,2022,r_0201,New York cops Allen and Terry toil in obscurity as lowly desk jockeys until a big break finally gives them a chance to tackle real police work.
United States,US,2022-02-13,TV,8,The Woman in the House Across the Street from the Girl in the Window,The Woman in the House Across the Street from the Girl in the Window: Limited Series,3,2022,r_0205,"Mixing wine, pills, casseroles and an overactive imagination, Anna obsesses over a hunky neighbor across the street and witnesses a murder. Or did she?"
United States,US,2022-02-27,TV,8,All of Us Are Dead,All of Us Are Dead: Season 1,5,2022,r_0211,A high school becomes ground zero for a zombie virus outbreak. Trapped students must fight their way out — or turn into one of the rabid infected.
United States,US,2022-03-13,Films,8,21,,1,2022,r_0227,A brilliant group of students become card-counting experts with the intent of swindling millions out of Las Vegas casinos by playing blackjack.
United States,US,2022-03-13,Films,7,Coach Carter,,1,2022,r_0229,Controversial basketball coach Ken Carter puts school before sports and benches his undefeated high school team for poor academic performance.
United States,US,2022-03-27,TV,10,Top Boy,Top Boy: Season 2,1,2022,r_0235,"Two seasoned drug dealers return to the gritty streets of London, but their pursuit of money and power is threatened by a young and ruthless hustler."
United States,US,2022-03-27,TV,9,Human Resources,Human Resources: Season 1,2,2022,r_0237,"Lovebugs, Hormone Monsters and a parade of other creatures juggle romance, workplace drama and their human clients' needs in this ""Big Mouth"" spinoff."
United States,US,2022-04-03,TV,7,PIECES OF HER,PIECES OF HER: Season 1,5,2022,r_0243,A woman pieces together her mother's dark past after a violent attack in their small town brings hidden threats and deadly secrets to light.
United States,US,2022-04-03,TV,5,Good Girls,Good Girls: Season 4,4,2022,r_0245,Three suburban moms orchestrate a local grocery store heist to escape financial ruin and establish independence -- together.
United States,US,2022-04-10,Films,7,Molly's Game,,1,2022,r_0251,Former Olympian Molly Bloom ran a high-stakes poker game for the stars – until her lofty lifestyle nearly sent her to prison.
United States,US,2022-04-10,Films,9,Blow,,1,2022,r_0252,Cocaine smuggler George rises from poverty to become one of the biggest drug dealers in America before his eventual downfall.
United States,US,2022-04-10,Films,5,Monster-in-Law,,1,2022,r_0255,An office temp thinks she's found Mr. Right when she starts dating a handsome surgeon. But there's a problem standing in the way of everlasting bliss.
United States,US,2022-04-17,Films,8,Hop,,1,2022,r_0256,A jobless slacker finds himself beyond busy after he runs over the Easter Bunny and has to take over the rabbit's duties so the holiday can continue.
United States,US,2022-04-17,Films,1,The Call,,1,2022,r_0261,"Connected by phone in the same home but 20 years apart, a serial killer puts another woman’s past — and life — on the line to change her own fate."
United States,US,2022-04-24,TV,10,Queen of the South,Queen of the South: Season 5,3,2022,r_0265,"Forced to work for a cartel that recently killed her boyfriend, Teresa relies on her street smarts, a loyal friend and a mysterious notebook to survive."
United States,US,2022-05-01,Films,3,How It Ends,,2,2022,r_0269,"When a mysterious disaster turns the country into a war zone, a young lawyer heads west with his future father-in-law to find his pregnant fiancée."
United States,US,2022-05-01,TV,8,Anatomy of a Scandal,Anatomy of a Scandal: Limited Series,3,2022,r_0275,Sophie's privileged life as the wife of powerful politician James unravels when scandalous secrets surface — and he stands accused of a shocking crime.
United States,US,2022-05-15,TV,6,Grace and Frankie,Grace and Frankie: Season 7,3,2022,r_0288,"They’re not friends, but when their husbands leave them for each other, proper Grace and eccentric Frankie begin to bond in this Emmy-nominated series."
United States,US,2022-05-15,TV,3,Welcome to Eden,Welcome to Eden: Season 1,1,2022,r_0290,"A group of young adults attend a party on a remote island, but the tempting paradise they find waiting for them holds dangerous secrets and entrapments."
United States,US,2022-05-22,TV,8,Outlander,Outlander: Season 5,2,2022,r_0293,This epic tale adapted from Diana Gabaldon's popular series of fantasy-romance novels focuses on the drama of two time-crossed lovers.
United States,US,2022-05-22,Films,8,Den of Thieves,,3,2022,r_0296,A highly skilled crew of bank robbers plotting a heist at the supposedly impenetrable Federal Reserve faces off against an elite unit of L.A. cops.
United States,US,2022-06-05,TV,10,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles: Season 1,1,2022,r_0309,"In this animated adventure, Master Splinter whips the four Ninja Turtles back into shape to defeat monsters running amok in New York."
United States,US,2022-06-05,Films,10,Charlie and the Chocolate Factory,,6,2022,r_0312,The eccentric Willy Wonka opens the doors of his candy factory to five lucky kids who learn the secrets behind his amazing confections.
United States,US,2022-06-12,TV,10,Ozark,Ozark: Season 4,14,2022,r_0317,"A financial adviser drags his family from Chicago to the Missouri Ozarks, where he must launder $500 million in five years to appease a drug boss."
United States,US,2022-06-12,Films,7,"10,000 B.C.",,1,2022,r_0318,Fierce mammoth hunter D'Leh sets out on an impossible journey to rescue the woman he loves from a vicious warlord and save the people of his village.
United States,US,2022-06-19,TV,7,Peaky Blinders,Peaky Blinders: Season 6,2,2022,r_0320,"A notorious gang in 1919 Birmingham, England, is led by the fierce Tommy Shelby, a crime boss set on moving up in the world no matter the cost."
United States,US,2022-06-19,TV,3,First Kill,First Kill: Season 1,2,2022,r_0321,"A stock broker brings his young son back to the town where he grew up for a hunting trip, but things take a dangerous turn when they witness a crime."
United States,US,2022-07-03,Films,3,The Mist,,2,2022,r_0335,"Trapped by a mysterious fog, residents of a Maine village discover that it hides nightmarish creatures. A new series based on Stephen King's novella."
United States,US,2022-07-17,TV,10,The Flash,The Flash: Season 8,1,2022,r_0349,A forensics expert who wakes from a coma with amazing new powers squares off against forces threatening the city in this live-action superhero romp.
United States,US,2022-07-17,TV,8,The Umbrella Academy,The Umbrella Academy: Season 3,4,2022,r_0350,"Reunited by their father's death, estranged siblings with extraordinary powers uncover shocking family secrets -- and a looming threat to humanity."
United States,US,2022-08-21,TV,8,Riverdale,Riverdale: Season 6,2,2022,r_0379,"While navigating the troubled waters of sex, romance, school and family, teen Archie and his gang become entangled in a dark Riverdale mystery."
United States,US,2022-08-21,TV,9,Extraordinary Attorney Woo,Extraordinary Attorney Woo: Season 1,2,2022,r_0382,Brilliant attorney Woo Young-woo tackles challenges in the courtroom and beyond as a newbie at a top law firm and a woman on the autism spectrum.
United States,US,2022-08-28,TV,10,Mo,Mo: Season 1,1,2022,r_0388,"In Texas, Mo straddles the line between two cultures, three languages and a pending asylum request while hustling to support his Palestinian family."
United States,US,2022-09-04,TV,6,High Heat,High Heat: Season 1,3,2022,r_0394,"When clues to his brother's murder lead Poncho to a fire brigade, he joins it to investigate further and finds romance, family... and a serial killer."
United States,US,2022-09-04,Films,4,Collateral,,1,2022,r_0397,"Investigating the murder of a pizza delivery man, a London detective uncovers a tangled conspiracy involving drug dealers, smugglers and spies."
United States,US,2022-09-11,TV,9,Call the Midwife,Call the Midwife: Series 11,1,2022,r_0399,This period drama set in impoverished East London in the 1950s follows a newly qualified midwife and her colleagues at a nursing convent.
United States,US,2022-09-11,TV,8,Stranger Things,Stranger Things 4,16,2022,r_0403,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces and one strange little girl."
United States,US,2022-09-11,TV,7,Echoes,Echoes: Limited Series,4,2022,r_0406,"Identical twins Leni and Gina have secretly switched places for years. But when one sister disappears, both of their lives start to fall apart."
United States,US,2022-09-18,TV,8,Narco-Saints,Narco-Saints: Season 1,1,2022,r_0410,An ordinary entrepreneur joins a secret government mission to capture a Korean drug lord operating in South America. Based on true events.
United States,US,2022-09-18,TV,4,The Imperfects,The Imperfects: Season 1,2,2022,r_0413,"After undergoing an experiment that gives them monstrous side effects, Abbi, Tilda and Juan join forces to find the scientist responsible — and a cure."
United States,US,2022-09-25,TV,10,Devil in Ohio,Devil in Ohio: Limited Series,4,2022,r_0418,"Determined to protect a young patient who escaped a mysterious cult, a psychiatrist takes the girl in, putting her own family — and life — in danger."
United States,US,2022-10-02,TV,8,Fate: The Winx Saga,Fate: The Winx Saga: Season 2,3,2022,r_0424,"Determined to master their enchanting powers, a group of teens navigate rivalry, romance and supernatural studies at Alfea, a magical boarding school."
United States,US,2022-10-02,TV,5,Cobra Kai,Cobra Kai: Season 5,4,2022,r_0430,"Decades after the tournament that changed their lives, the rivalry between Johnny and Daniel reignites in this sequel to the ""Karate Kid"" films."
United States,US,2022-10-16,Films,10,17 Again,,1,2022,r_0444,"Nearing a midlife crisis, thirty-something Mike wishes for a ""do-over"" – and that's exactly what he gets when he wakes up to find he's 17 again."
United States,US,2022-10-16,TV,8,The Empress,The Empress: Season 1,3,2022,r_0446,"When rebellious Elisabeth falls for Emperor Franz and becomes his unlikely bride, she enters a world of tension and intrigue at the Viennese court."
United States,US,2022-10-23,TV,7,The Midnight Club,The Midnight Club: Season 1,3,2022,r_0448,"Inside a hospice for terminally ill teens, members of an exclusive club make a chilling pact: The first to die must send a sign from beyond the grave."
United States,US,2022-10-23,TV,8,The Blacklist,The Blacklist: Season 9,3,2022,r_0451,"After turning himself in, a brilliant fugitive offers to help the FBI bag other baddies, but only if rookie profiler Elizabeth Keen is his partner."
United States,US,2022-10-30,TV,9,The Sinner,The Sinner: Season 4: Percy,3,2022,r_0458,"In a small New York town, a haunted detective hunts for answers about perplexing crimes while wrestling with his own demons."
United States,US,2022-10-30,Films,10,The Stranger,,2,2022,r_0460,"When a stranger makes a shocking claim about his wife, family man Adam Price becomes entangled in a mystery as he desperately searches for answers."
United States,US,2022-10-30,TV,5,DAHMER,DAHMER: Monster: The Jeffrey Dahmer Story,6,2022,r_0463,"Across more than a decade, 17 teen boys and young men were murdered by convicted killer Jeffrey Dahmer. How did he evade arrest for so long?"
United States,US,2022-11-06,TV,7,Guillermo del Toro's Cabinet of Curiosities,Guillermo del Toro's Cabinet of Curiosities: Season 1,2,2022,r_0467,"Bizarre nightmares unfold in eight tales of terror in this visually stunning, spine-tingling horror collection curated by Guillermo del Toro."
United States,US,2022-11-06,TV,10,Drink Masters,Drink Masters: Season 1,1,2022,r_0470,World-class mixologists showcase their dazzling cocktail-crafting skills as they compete for a $100K prize — and the title of Ultimate Drink Master.
United States,US,2022-11-13,Films,8,Enola Holmes,,1,2022,r_0471,"While searching for her missing mother, intrepid teen Enola Holmes uses her sleuthing skills to outsmart big brother Sherlock and help a runaway lord."
United States,US,2022-11-13,TV,8,The Watcher,The Watcher: Season 1,5,2022,r_0475,"Ominous letters. Strange neighbors. Sinister threats. A family moves into their suburban dream home, only to discover they've inherited a nightmare."
United States,US,2022-11-13,Films,6,Mile 22,,1,2022,r_0477,"An officer in a top-secret CIA unit leads his team in escorting a prized intelligence asset to safety, with enemy forces hot on their trail."
United States,US,2022-11-20,TV,9,Warrior Nun,Warrior Nun: Season 2,2,2022,r_0480,"After waking up in a morgue, an orphaned teen discovers she now possesses superpowers as the chosen Halo-Bearer for a secret sect of demon-hunting nuns."
United States,US,2022-11-20,TV,7,From Scratch,From Scratch: Limited Series,5,2022,r_0481,"An artist finds romance with a chef in Italy and embarks on a life-changing journey of love, loss, resilience and hope across cultures and continents."
United States,US,2022-12-04,TV,4,1899,1899: Season 1,3,2022,r_0494,"When mysterious events change the course of an immigrant ship headed for New York in 1899, a mind-bending riddle unfolds for its bewildered passengers."
United States,US,2022-12-11,TV,9,Dead to Me,Dead to Me: Season 3,4,2022,r_0499,A hotheaded widow searching for the hit-and-run driver who mowed down her husband befriends an eccentric optimist who isn't quite what she seems.
